course_id,learners_enrolled,status,error
noc26_ae21,317,OK,
noc26_ae22,124,OK,
noc26_ae23,311,OK,
noc26_ae24,364,OK,
noc26_ae25,174,OK,
noc26_ae26,388,OK,
noc26_ae27,2057,OK,
noc26_ae28,927,OK,
noc26_ae29,444,OK,
noc26_ae30,356,OK,
noc26_ae31,393,OK,
noc26_ae32,165,OK,
noc26_ae33,309,OK,
noc26_ae34,219,OK,
noc26_ae35,243,OK,
noc26_ae36,197,OK,
noc26_ae37,100,OK,
noc26_ae38,210,OK,
noc26_ae39,326,OK,
noc26_ae40,320,OK,
noc26_ae41,191,OK,
noc26_ae42,262,OK,
noc26_ag17,196,OK,
noc26_ag18,565,OK,
noc26_ag19,539,OK,
noc26_ag20,1293,OK,
noc26_ag21,2140,OK,
noc26_ag22,355,OK,
noc26_ag23,1985,OK,
noc26_ag24,543,OK,
noc26_ag25,603,OK,
noc26_ag26,184,OK,
noc26_ag27,513,OK,
noc26_ag28,1752,OK,
noc26_ar18,329,OK,
noc26_ar19,452,OK,
noc26_ar20,268,OK,
noc26_ar21,245,OK,
noc26_ar22,172,OK,
noc26_ar23,171,OK,
noc26_ar24,558,OK,
noc26_ar25,257,OK,
noc26_ar26,151,OK,
noc26_ar27,306,OK,
noc26_ar28,269,OK,
noc26_ar29,119,OK,
noc26_ar30,365,OK,
noc26_ar31,349,OK,
noc26_ar32,164,OK,
noc26_ar33,874,OK,
noc26_ar34,304,OK,
noc26_ar35,283,OK,
noc26_ar36,211,OK,
noc26_ar37,191,OK,
noc26_ar38,204,OK,
noc26_ar39,203,OK,
noc26_ar40,201,OK,
noc26_bt100,379,OK,
noc26_bt101,752,OK,
noc26_bt102,963,OK,
noc26_bt51,395,OK,
noc26_bt52,466,OK,
noc26_bt53,94,OK,
noc26_bt54,64,OK,
noc26_bt56,1039,OK,
noc26_bt57,257,OK,
noc26_bt58,455,OK,
noc26_bt59,258,OK,
noc26_bt60,271,OK,
noc26_bt61,1096,OK,
noc26_bt62,181,OK,
noc26_bt63,145,OK,
noc26_bt65,418,OK,
noc26_bt66,563,OK,
noc26_bt67,218,OK,
noc26_bt68,402,OK,
noc26_bt69,166,OK,
noc26_bt70,774,OK,
noc26_bt71,294,OK,
noc26_bt72,329,OK,
noc26_bt73,531,OK,
noc26_bt74,270,OK,
noc26_bt76,66,OK,
noc26_bt77,249,OK,
noc26_bt78,1109,OK,
noc26_bt79,1415,OK,
noc26_bt80,786,OK,
noc26_bt81,626,OK,
noc26_bt82,283,OK,
noc26_bt83,293,OK,
noc26_bt84,562,OK,
noc26_bt85,1039,OK,
noc26_bt86,913,OK,
noc26_bt87,530,OK,
noc26_bt88,746,OK,
noc26_bt89,905,OK,
noc26_bt90,180,OK,
noc26_bt91,1451,OK,
noc26_bt92,525,OK,
noc26_bt93,584,OK,
noc26_bt94,778,OK,
noc26_bt95,273,OK,
noc26_bt96,99,OK,
noc26_bt97,800,OK,
noc26_bt98,507,OK,
noc26_bt99,1037,OK,
noc26_ce100,1250,OK,
noc26_ce101,147,OK,
noc26_ce102,200,OK,
noc26_ce103,154,OK,
noc26_ce104,68,OK,
noc26_ce105,158,OK,
noc26_ce106,256,OK,
noc26_ce107,384,OK,
noc26_ce108,139,OK,
noc26_ce109,222,OK,
noc26_ce110,320,OK,
noc26_ce111,77,OK,
noc26_ce112,327,OK,
noc26_ce113,99,OK,
noc26_ce114,47,OK,
noc26_ce115,402,OK,
noc26_ce116,268,OK,
noc26_ce117,81,OK,
noc26_ce118,165,OK,
noc26_ce119,52,OK,
noc26_ce120,113,OK,
noc26_ce121,448,OK,
noc26_ce122,739,OK,
noc26_ce123,497,OK,
noc26_ce124,1069,OK,
noc26_ce125,342,OK,
noc26_ce126,1090,OK,
noc26_ce127,46,OK,
noc26_ce128,184,OK,
noc26_ce129,102,OK,
noc26_ce130,126,OK,
noc26_ce131,88,OK,
noc26_ce132,443,OK,
noc26_ce133,79,OK,
noc26_ce134,150,OK,
noc26_ce135,157,OK,
noc26_ce136,549,OK,
noc26_ce137,146,OK,
noc26_ce138,140,OK,
noc26_ce139,941,OK,
noc26_ce140,1534,OK,
noc26_ce141,71,OK,
noc26_ce142,1172,OK,
noc26_ce143,164,OK,
noc26_ce144,309,OK,
noc26_ce145,375,OK,
noc26_ce146,488,OK,
noc26_ce147,436,OK,
noc26_ce148,510,OK,
noc26_ce149,553,OK,
noc26_ce150,96,OK,
noc26_ce151,112,OK,
noc26_ce152,78,OK,
noc26_ce153,3365,OK,
noc26_ce154,90,OK,
noc26_ce155,147,OK,
noc26_ce156,156,OK,
noc26_ce157,435,OK,
noc26_ce158,205,OK,
noc26_ce159,553,OK,
noc26_ce160,441,OK,
noc26_ce161,425,OK,
noc26_ce162,962,OK,
noc26_ce163,412,OK,
noc26_ce165,109,OK,
noc26_ce166,449,OK,
noc26_ce82,197,OK,
noc26_ce83,97,OK,
noc26_ce84,52,OK,
noc26_ce85,387,OK,
noc26_ce86,,Removed / Unavailable,
noc26_ce87,329,OK,
noc26_ce88,99,OK,
noc26_ce89,60,OK,
noc26_ce90,114,OK,
noc26_ce91,70,OK,
noc26_ce92,,Removed / Unavailable,
noc26_ce93,286,OK,
noc26_ce94,592,OK,
noc26_ce95,156,OK,
noc26_ce96,640,OK,
noc26_ce97,699,OK,
noc26_ce98,272,OK,
noc26_ce99,1326,OK,
noc26_ch100,67,OK,
noc26_ch101,89,OK,
noc26_ch102,65,OK,
noc26_ch103,1397,OK,
noc26_ch104,457,OK,
noc26_ch105,190,OK,
noc26_ch106,102,OK,
noc26_ch107,30,OK,
noc26_ch108,30,OK,
noc26_ch109,350,OK,
noc26_ch110,106,OK,
noc26_ch111,186,OK,
noc26_ch52,382,OK,
noc26_ch53,216,OK,
noc26_ch54,54,OK,
noc26_ch55,815,OK,
noc26_ch56,150,OK,
noc26_ch57,96,OK,
noc26_ch58,69,OK,
noc26_ch59,128,OK,
noc26_ch60,881,OK,
noc26_ch61,30,OK,
noc26_ch62,283,OK,
